acquisitiondate,boro,zipcode,address,eapply,location,acres,typecategory,retired
1982 Apr 27 12:00:00 AM,Manhattan,"10007, 10013, 10280","NA, New York, NY",Battery Park City,"Hudson River, Liberty St. West St, and Pier A",26.041999999999998,Community Park,FALSE
1899 Dec 08 12:00:00 AM,Manhattan,"10032, 10033, 10034, 10037, 10039, 10040, 10451","NA, New York, NY",Harlem River Park,Harlem River Dr. from E. 131 St. to W. 145 St. and W. 155 St. to Dyckman St.,46.657,Parkway,FALSE
2002 Nov 20 12:00:00 AM,Manhattan,10032,"NA, New York, NY",NA,W. 158 St. bet. Amsterdam Ave. and Broadway,0.045,Garden,FALSE
1810 Feb 19 12:00:00 AM,Manhattan,10013,"NA, New York, NY",Tribeca Park,"Walker St., Beach St. bet. St. John's La. and Ave. of the Americas",0.32,Triangle/Plaza,FALSE
1938 Apr 20 12:00:00 AM,Manhattan,10035,"1 WARDS ISLAND, New York, NY",Wards Island Park,East River and Hell Gate,170.7,Recreational Field/Courts,FALSE
1870 Aug 16 12:00:00 AM,Manhattan,10026,"NA, New York, NY",Morningside Park,"W 110 St To W 123 St, Manhattan Av To Morningside Av",29.887999999999998,Community Park,FALSE
1870 Jul 28 12:00:00 AM,Manhattan,10019,"1 GRAND ARMY PLAZA, New York, NY",Grand Army Plaza (part of Central Park for special event layer),"5 Av, W 58 St To W 59 St",0.625,Triangle/Plaza,FALSE
1686 Apr 27 12:00:00 AM,Manhattan,10004,"NA, New York, NY",Bowling Green,Broadway and Whitehall St.,1.016,Triangle/Plaza,FALSE
1933 Sep 15 12:00:00 AM,Manhattan,10035,"NA, New York, NY",Triboro Plaza,"1 Ave. To 2 Ave., bet. E. 124 St. and E. 126 St.",2.3,Triangle/Plaza,FALSE
1966 Aug 25 12:00:00 AM,Manhattan,10016,"NA, New York, NY",Vincent F. Albano Jr. Playground,2 Ave. bet. E. 29 St. and E. 30 St.,0.346,Playground,FALSE
1888 Mar 01 12:00:00 AM,Manhattan,"10017, 10022","NA, New York, NY",Park Avenue Malls 57th-59th,E 57 St To E 59 St and Park Av,0.23,Mall,FALSE
2016 Mar 25 12:00:00 AM,Manhattan,10027,"NA, New York, NY",NA,W. 127 St. bet. Lenox Ave. and Adam Clayton Powell Jr. Blvd.,0.033,Garden,FALSE
1941 Jul 01 12:00:00 AM,Manhattan,10027,"NA, New York, NY",Roosevelt Triangle,W. 125 St. and Morningside Ave.,0.07300000000000001,Triangle/Plaza,FALSE
1911 Jun 14 12:00:00 AM,Manhattan,10002,"NA, New York, NY",Schiff Mall,Delancey St bet. Bowery and Essex St,0.376,Mall,FALSE
1997 Jul 15 12:00:00 AM,Manhattan,10030,"NA, New York, NY",Margrichante Garden,W. 133 St. bet. Lenox Ave. and Adam C Powell Blvd.,0.171,Garden,FALSE
1952 Mar 20 12:00:00 AM,Manhattan,10005,"NA, New York, NY",The Queen Elizabeth II September 11th Garden,"Hanover Sq., Pearl St. and Stone St.",0.117,Triangle/Plaza,FALSE
1956 Jan 12 12:00:00 AM,Manhattan,10035,"NA, New York, NY",Harlem River Park,E. 127 St. and Harlem River Drive,0.351,Triangle/Plaza,FALSE
1956 Jan 12 12:00:00 AM,Manhattan,10035,"NA, New York, NY",Harlem River Park,"E. 127 St., 2 Ave., and Harlem River Drive",0.267,Triangle/Plaza,FALSE
NA,Manhattan,"10012, 10013","NA, New York, NY",Father Fagan Park,Ave. Of Americas bet. Prince St. and Spring St.,0.15000000000000002,Triangle/Plaza,FALSE
1948 Apr 22 12:00:00 AM,Manhattan,10009,"NA, New York, NY",Wald Playground,E. Houston St. and FDR Dr.,0.525,Jointly Operated Playground,FALSE
